District,School Site,Co/Dist Code,Site Code,Enrollment,Certified Staff,Grades  (Low-High),Telephone,Mailing Address,City,State,Zip,County,Principal,Principal Email,latitude,longitude
ALTUS,ALTUS HS,33-I018,705,905,80,09-12,(580) 481-2167,400 North Park Ave,Altus,OK,73521,JACKSON,Mark Haught,mhaught@altusps.com,34.666447,-99.333561
ALVA,LINCOLN ES,76-I001,105,114,15,04-05,(580) 327-3008,1540 Davis St,Alva,OK,73717,WOODS,Tim Argo,tbargo@alvaschools.net,36.791048,-98.667304
ALVA,LONGFELLOW ES,76-I001,110,,18,-,(580) 327-3327,19 Barnes Ave,Alva,OK,73717,WOODS,Steve Shiever,ssshiever@alvaschools.net,36.803206,-98.657999
ALVA,WASHINGTON ES,76-I001,115,258,21,PK-01,(580) 327-3518,701 Barnes Ave,Alva,OK,73717,WOODS,Alysson Tucker,amtucker@alvaschools.net,36.803259,-98.669169
ALVA,ALVA MS,76-I001,505,,27,-,(580) 327-0608,800 Flynn St,Alva,OK,73717,WOODS,Ron Sunderland,rdsunderland@alvaschools.net,36.805435,-98.670786
ALVA,ALVA HS,76-I001,705,,34,-,(580) 327-3682,501 14th St,Alva,OK,73717,WOODS,Lesley Potter,ldpotter@alvaschools.net,36.803605,-98.681658
ANADARKO,ANADARKO EAST ES,08-I020,105,290,24,02-03,(405) 247-2496,107 Southeast Fifth St,Anadarko,OK,73005,CADDO,Danny Harris,dharris@apswarriors.com,35.430592,-97.509843
ANADARKO,SUNSET ES,08-I020,115,316,25,KG-01,(405) 247-2503,508 Southwest Seventh St,Anadarko,OK,73005,CADDO,Lyn Grubb,lgrubb@apswarriors.com,35.429999,-97.521942
ANADARKO,MISSION ES,08-I020,120,394,30,PK-05,(405) 247-6607,1200 South Mission St,Anadarko,OK,73005,CADDO,Jeff Barrett,jbarrett@apswarriors.com,35.437109,-97.537019
ANADARKO,ANADARKO MS,08-I020,510,411,55,06-08,(405) 247-6671,900 West College St,Anadarko,OK,73005,CADDO,Doug Hall,dhall@apswarriors.com,35.559293,-97.53277
ANADARKO,ANADARKO HS,08-I020,705,471,60,09-12,(405) 247-2486,1400 Warrior Drive,Anadarko,OK,73005,CADDO,Mike Sparks,msparks@apswarriors.com,35.4829,-97.453137
ANDERSON,ANDERSON PUBLIC SCHOOL,57-C052,105,282,21,PK-06,(918) 245-0289,2195 Anderson Road,Sand Springs,OK,74063,OSAGE,Brett Banker,bbanker@andersontrojans.org,36.134405,-96.098268
ANTLERS,BRANTLY ES,64-I013,105,530,37,PK-05,(580) 298-3108,219 Ne A St,Antlers,OK,74523,PUSHMATAHA,Pamela Matthews,pmatthews@antlers.k12.ok.us,35.444102,-97.507754
ANTLERS,OBUCH MS,64-I013,510,225,26,06-08,(580) 298-3308,219 Ne A St,Antlers,OK,74523,PUSHMATAHA,William Neyman,wneyman@antlers.k12.ok.us,35.444102,-97.507754
ANTLERS,ANTLERS HS,64-I013,705,269,33,09-12,(580) 298-2141,219 Ne A St,Antlers,OK,74523,PUSHMATAHA,Bryan Mcnutt,bmcnutt@antlers.k12.ok.us,35.444102,-97.507754
ASTEC CHARTERS,ASTEC CHARTER MS,55-G004,971,460,43,06-08,(405) 947-6273,"2401 Nw 23rd St, Ste. 3",Oklahoma City,OK,73107,OKLAHOMA,Amanda James,ajames@asteccharterschools.com,35.493708,-97.599237
ASTEC CHARTERS,ASTEC CHARTER HS,55-G004,972,467,37,09-12,(405) 947-6274,"2401 Nw 23rd St, Ste. 3",Oklahoma City,OK,73107,OKLAHOMA,Amanda James,ajames@asteccharterschools.com,35.493708,-97.599237
BALKO,BALKO ES,04-I075,105,118,23,PK-08,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931,BEAVER,Tammie Heathman,theathman@balko.k12.ok.us,35.46454,-97.565142
BALKO,BALKO HS,04-I075,705,44,14,09-12,(580) 646-3385,"Rural Route 1, Box 37",Balko,OK,73931,BEAVER,Tammie Heathman,theathman@balko.k12.ok.us,35.46454,-97.565142
BANNER,BANNER PUBLIC SCHOOL,09-C031,105,204,14,PK-08,(405) 262-0598,2455 North Banner Road,El Reno,OK,73036,CANADIAN,Larry York,ljyork68@banner.k12.ok.us,35.511445,-97.975945
BARTLESVILLE,RICHARD KANE ES,74-I030,110,551,46,PK-05,(918) 337-3711,801 East 13th St,Bartlesville,OK,74003,WASHINGTON,Shelly White,whitesr@bps-ok.org,36.753304,-95.975088
BARTLESVILLE,HOOVER ES,74-I030,120,461,36,PK-05,(918) 333-9337,512 Southeast Madison,Bartlesville,OK,74006,WASHINGTON,Susan Burns,burnssr@bps-ok.org,36.77542,-95.936047
BARTLESVILLE,JANE PHILLIPS ES,74-I030,130,332,48,PK-05,(918) 336-9479,1500 South Rogers Ave,Bartlesville,OK,74003,WASHINGTON,David Mueller,muellerdd@bps-ok.org,36.752486,-95.978667
BARTLESVILLE,RANCH HEIGHTS ES,74-I030,160,561,42,PK-05,(918) 333-3810,5100 David Lane,Bartlesville,OK,74005,WASHINGTON,Kevin Brown,brownkd@bps-ok.org,35.358544,-97.226493
BARTLESVILLE,WAYSIDE ES,74-I030,175,603,41,PK-05,(918) 333-8000,3000 Wayside Drive,Bartlesville,OK,74006,WASHINGTON,Kenneth Copeland,copelandkg@bps-ok.org,36.717425,-95.934305
BARTLESVILLE,WOODROW WILSON ES,74-I030,185,569,45,PK-05,(918) 335-1177,245 Northeast Spruce,Bartlesville,OK,74006,WASHINGTON,Tammie Krause,krausetj@bps-ok.org,36.77542,-95.936047
BARTLESVILLE,CENTRAL MS,74-I030,505,605,61,06-08,(918) 336-9302,408 Southeast Ninth,Bartlesville,OK,74005,WASHINGTON,Ryan Huff,huffrl@bps-ok.org,36.752697,-95.938603
BARTLESVILLE,MADISON MS,74-I030,510,655,56,06-08,(918) 333-3176,500 Southeast Madison Blvd,Bartlesville,OK,74006,WASHINGTON,Joseph Eidson,eidsonje@bps-ok.org,36.755336,-95.915597
BARTLESVILLE,BARTLESVILLE HS,74-I030,705,1762,129,09-12,(918) 336-3311,1700 Hillcrest Drive,Bartlesville,OK,74003,WASHINGTON,Ladonna Chancellor,chancellorlm@bps-ok.org,36.750751,-95.979359
BEARDEN,BEARDEN PUBLIC SCHOOL,54-C029,105,95,9,PK-08,(918) 623-0156,372006 Hwy 48,Okemah,OK,74859,OKFUSKEE,Danielle Deere,ddeere@bearden.k12.ok.us,35.482017,-97.496269
BEGGS,BEGGS ES,56-I004,105,434,40,PK-04,(918) 267-3631,1201 West Ninth St,Beggs,OK,74421,OKMULGEE,Nancy Mccune,nmcune@beggs.k12.ok.us,35.748522,-96.083741
BEGGS,BEGGS MS,56-I004,505,345,35,05-08,(918) 267-4916,1201 West Ninth St,Beggs,OK,74421,OKMULGEE,Kenny Hurst,khurst@beggs.k12.ok.us,35.748522,-96.083741
BEGGS,BEGGS HS,56-I004,705,351,38,09-12,(918) 267-3625,1201 West Ninth St,Beggs,OK,74421,OKMULGEE,Kristi Smith,ksmith@beggs.k12.ok.us,35.748522,-96.083741
BELFONTE,BELFONTE PUBLIC SCHOOL,68-C050,105,99,11,PK-08,(918) 427-3522,475751 State Highway 101,Muldrow,OK,74948,SEQUOYAH,Paul Pinkerton,ppinkerton@belfonte.k12.ok.us,33.0097,-96.541676
BELFONTE,BELFONTE BELL ES (ADAIR CNTY),68-C050,110,108,9,PK-08,(918) 696-7181,Rt. 5 Box 4470,Stilwell,OK,74960,SEQUOYAH,Tony Davidson,tdavidson@belfonte.k12.ok.us,35.52463,-97.351228
BENNINGTON,BENNINGTON ES,07-I040,105,219,24,PK-08,(580) 847-2310,729 North Perry St,Bennington,OK,74723,BRYAN,Scot Mccorstin,smccorstin@benningtonisd.org,35.48772,-97.499489
BENNINGTON,BENNINGTON HS,07-I040,705,79,16,09-12,(580) 847-2310,729 North Perry St,Bennington,OK,74723,BRYAN,Jon Shepard,jshepard@benningtonisd.org,35.48772,-97.499489
BERRYHILL,BERRYHILL ES SOUTH,72-I010,105,643,43,PK-06,(918) 445-6041,3128 South 63rd West Ave,Tulsa,OK,74107,TULSA,Kye Payne,kye.payne@berryhillschools.org,36.103876,-96.001063
BERRYHILL,BERRYHILL MS,72-I010,510,191,33,07-08,(918) 445-6039,3128 South 63rd West Ave,Tulsa,OK,74107,TULSA,Ronna Taylor,ronna.taylor@berryhillschools.org,36.103876,-96.001063
BERRYHILL,BERRYHILL HS,72-I010,705,422,46,09-12,(918) 445-6035,3128 South 63rd West Ave,Tulsa,OK,74107,TULSA,Donnie Bridgeman,donnie.bridgeman@berryhillschools.org,36.103876,-96.001063
BETHANY,EARL HARRIS ES,55-I088,105,756,57,PK-05,(405) 789-6673,6721 Nw 42Nd St,Bethany,OK,73008,OKLAHOMA,Reuben Bellows,rbellows@bps.k12.ok.us,35.510951,-97.626149
BETHANY,CHILDREN'S CTR,55-I088,110,62,8,PK-08,(405) 499-4611,6721 Northwest 42Nd St,Bethany,OK,73008,OKLAHOMA,Tim Haws,thaws@bps.k12.ok.us,35.513395,-97.512666
BETHANY,BETHANY MS,55-I088,505,385,39,06-08,(405) 787-3240,6721 Nw 42Nd St,Bethany,OK,73008,OKLAHOMA,Matthew Flinton,mflinton@bps.k12.ok.us,35.510951,-97.626149
BETHANY,BETHANY HS,55-I088,705,515,52,09-12,(405) 789-6370,6721 Nw 42Nd St,Bethany,OK,73008,OKLAHOMA,Don Wentroth,dwentroth@bps.k12.ok.us,35.510951,-97.626149
BETHEL,BETHEL ES,63-I003,105,636,42,PK-05,(405) 273-7632,36000 Clearpond Road,Shawnee,OK,74801,POTTAWATOMIE,Tammy Cook,cookt@bethel.k12.ok.us,35.429203,-97.581039
BETHEL,BETHEL MS,63-I003,505,284,30,06-08,(405) 273-5944,36000 Clearpond Road,Shawnee,OK,74801,POTTAWATOMIE,Tina Moon,moont@bethel.k12.ok.us,35.429203,-97.581039
BETHEL,BETHEL HS,63-I003,705,425,39,09-12,(405) 273-3633,36000 Clearpond Road,Shawnee,OK,74801,POTTAWATOMIE,Jeremy Stewart,stewartj@bethel.k12.ok.us,35.429203,-97.581039
BILLINGS,BILLINGS ES,52-I002,105,55,12,PK-08,(580) 725-3479,311 North Central,Billings,OK,74630,NOBLE,Rustin Clark,rclark@billings.k12.ok.us,35.479705,-97.507538
BILLINGS,BILLINGS HS,52-I002,705,28,9,09-12,(580) 725-3271,311 North Central,Billings,OK,74630,NOBLE,Rustin Clark,rclark@billings.k12.ok.us,35.479705,-97.507538
BISHOP,BISHOP PUBLIC SCHOOL,16-C049,105,536,30,PK-06,(580) 353-4870,2204 Southwest Bishop Road,Lawton,OK,73505,COMANCHE,Howard Hampton,hamptonh@bishop.k12.ok.us,34.607945,-98.422714
BIXBY,CENTRAL ES,72-I004,110,889,56,PK-03,(918) 366-2282,201 South Main St,Bixby,OK,74008,TULSA,Lydia Wilson,lwilson@bixbyps.org,35.940609,-95.884072
BIXBY,BIXBY NORTH ES,72-I004,120,817,53,PK-03,(918) 366-2690,7101 East 121st St,Bixby,OK,74008,TULSA,Phil Streets,pstreets@bixbyps.org,35.986537,-95.864561
BIXBY,NORTH INTERMEDIATE SCHOOL,72-I004,130,556,45,04-06,(918) 366-2669,6941 East 121st St South,Bixby,OK,74008,TULSA,Dawn Nipps,dnipps@bixbyps.org,35.986537,-95.864561
BIXBY,CENTRAL INTERMEDIATE SCHOOL,72-I004,140,555,46,04-06,(918) 366-2248,9401 E. 161st St.,Bixby,OK,74008,TULSA,Brenda Shaw,bshaw@bixbyps.org,35.963498,-95.872447
BIXBY,NORTHEAST ES AND IS,72-I004,150,653,46,PK-06,(918) 366-1714,11901 E. 131st St.,Broken Arrow,OK,74011,TULSA,Jamie Milligan,jmilligan@bixbyps.org,35.591171,-97.66932
BIXBY,BIXBY MS,72-I004,505,869,69,07-08,(918) 366-2201,9401 East 161st St,Bixby,OK,74008,TULSA,Mike Lemon,mlemon@bixbyps.org,35.963498,-95.872447
BIXBY,BIXBY HS,72-I004,705,1707,126,09-12,(918) 366-2234,601 South Riverview,Bixby,OK,74008,TULSA,Terry Adams,tadams@bixbyps.org,35.941299,-95.88282
BLACKWELL,BLACKWELL ES,36-I045,125,662,46,PK-05,(580) 363-0118,2105 West Ferguson Ave,Blackwell,OK,74631,KAY,Mellisa Moore,mmoore@blackwell.k12.ok.us,35.507048,-97.548029
BLACKWELL,BLACKWELL MS,36-I045,505,,33,-,(580) 363-2100,1041 South First St,Blackwell,OK,74631,KAY,Preston Kysar,pkysar@blackwell.k12.ok.us,36.792892,-97.257655
BLACKWELL,BLACKWELL HS,36-I045,705,416,35,09-12,(580) 363-3553,303 East Coolidge Ave,Blackwell,OK,74631,KAY,Jaylene Soulek,jsoulek@blackwell.k12.ok.us,35.485762,-97.507143
BLANCHARD,BLANCHARD ES,47-I029,105,536,39,PK-02,(405) 485-3394,211 North Tyler Ave,Blanchard,OK,73010,MCCLAIN,Donna Edge,dedge@blanchard.k12.ok.us,35.50989,-97.507187
BLANCHARD,BLANCHARD INTERMEDIATE ES,47-I029,110,436,31,03-05,(405) 485-3391,211 North Tyler Ave,Blanchard,OK,73010,MCCLAIN,Paula Floyd,pfloyd@blanchard.k12.ok.us,35.50989,-97.507187
BLANCHARD,BLANCHARD MS,47-I029,510,420,34,06-08,(405) 485-3393,211 North Tyler Ave,Blanchard,OK,73010,MCCLAIN,Larry Mcvay,lmcvay@blanchard.k12.ok.us,35.50989,-97.507187
BLANCHARD,BLANCHARD HS,47-I029,705,550,47,09-12,(405) 485-3392,211 North Tyler Ave,Blanchard,OK,73010,MCCLAIN,Greg Jackson,gjackson@blanchard.k12.ok.us,35.50989,-97.507187
BOWRING,BOWRING PUBLIC SCHOOL,57-C007,105,78,8,PK-08,(918) 336-6892,87 County Road 3304,Pawhuska,OK,74056,OSAGE,Nicole Hinkle,nhinkle@bowringps.k12.ok.us,36.665307,-96.338871
BRAY-DOYLE,BRAY-DOYLE ES,69-I042,105,,30,-,(580) 658-5070,1205 South Brooks Road,Marlow,OK,73055,STEPHENS,Guy Heldermon,gheldermon@braydoyle.k12.ok.us,35.426162,-97.53726
BRAY-DOYLE,BRAY-DOYLE HS,69-I042,705,108,19,09-12,(580) 658-5071,1205 South Brooks Road,Marlow,OK,73055,STEPHENS,James Vines,jvines@braydoyle.k12.ok.us,35.426162,-97.53726
BRIDGE CREEK,BRIDGE CREEK ES,26-I095,105,770,51,PK-05,(405) 387-3681,2209 East Sooner Road,Blanchard,OK,73010,GRADY,Tina Floyd,tfloyd@bridgecreek.k12.ok.us,35.494334,-97.471183
BRIDGE CREEK,BRIDGE CREEK MS,26-I095,505,299,34,06-08,(405) 387-9681,2209 East Sooner Road,Blanchard,OK,73010,GRADY,Kenneth Ward,kward@bridgecreek.k12.ok.us,35.494334,-97.471183
BRIDGE CREEK,BRIDGE CREEK HS,26-I095,705,425,39,09-12,(405) 387-3981,2209 East Sooner Road,Blanchard,OK,73010,GRADY,Joe Billington,jbillingtonl@bridgecreek.k12.ok.us,35.494334,-97.471183
BRIGGS,BRIGGS PUBLIC SCHOOL,11-C044,105,463,37,PK-08,(918) 456-4221,17210 South 569 Road,Tahlequah,OK,74464,CHEROKEE,George Ritzhaupt,gritzy@briggs.k12.ok.us,35.852285,-94.990604
BRISTOW,EDISON ES,19-I002,110,521,34,PK-02,(918) 367-5521,111 W. 9th Ave.,Bristow,OK,74010,CREEK,Debbie Ponder,dponder@bristow.k12.ok.us,36.112066,-97.059496
BRISTOW,COLLINS ES,19-I002,115,400,29,03-05,(918) 367-5551,420 N. Main,Bristow,OK,74010,CREEK,Vicki Groom,vgroom@bristow.k12.ok.us,35.833774,-96.401554
BRISTOW,BRISTOW MS,19-I002,505,393,44,06-08,(918) 367-3551,420 N. Main,Bristow,OK,74010,CREEK,Brian Burden,bburden@bristow.k12.ok.us,35.833774,-96.401554
BRISTOW,BRISTOW HS,19-I002,705,467,50,09-12,(918) 367-2241,420 N. Main,Bristow,OK,74010,CREEK,Brandon Poteet,bpoteet@bristow.k12.ok.us,35.833774,-96.401554
BROKEN ARROW,CREEKWOOD EARLY CHILDHOOD CTR,72-I003,100,315,23,PK-PK,(918) 505-5280,1351 E Albany St,Broken Arrow,OK,74012,TULSA,Teresa Bowker,tdbowker@baschools.org,36.075837,-95.816868
BROKEN ARROW,ARROW SPRINGS EARLY CHILDHOOD,72-I003,103,228,16,PK-PK,(918) 259-4380,101 W Twin Oaks St,Broken Arrow,OK,74011,TULSA,,,35.583773,-97.511109
BROKEN ARROW,ARROW SPRINGS EARLY CHILDHOOD,72-I003,103,228,16,PK-PK,(918) 259-4380,101 W Twin Oaks St,Broken Arrow,OK,74011,TULSA,Debbie Mcclellan,dmcclellan@baschools.org,35.583773,-97.511109
BROKEN ARROW,ASPEN CREEK EC CENTER,72-I003,105,295,18,PK-PK,(918) 505-5290,2700 West Florence,Broken Arrow,OK,74011,TULSA,Julie Gateley,jgateley@baschools.org,36.015434,-95.790858
BROKEN ARROW,PARKLANE EARLY CHILDHOOD CTR,72-I003,107,250,18,PK-PK,(918) 806-8665,7700 South Shelby Lane,Broken Arrow,OK,74014,TULSA,Barbara Jones,bajones@baschools.org,36.051583,-95.715393
BROKEN ARROW,RHOADES ES,72-I003,110,474,43,KG-05,(918) 259-4440,320 East Midway St,Broken Arrow,OK,74012,TULSA,Dawna Mosburg,dkmosburg@baschools.org,36.084628,-95.770537
BROKEN ARROW,ARROWHEAD ES,72-I003,120,439,64,KG-05,(918) 259-4390,915 West Norman Ave,Broken Arrow,OK,74012,TULSA,Sheri Pulliam,spulliam@baschools.org,36.075837,-95.816868
BROKEN ARROW,VANDEVER ES,72-I003,125,473,40,PK-05,(918) 259-4490,2200 South Lions Ave,Broken Arrow,OK,74012,TULSA,Vicki Beckwith,vbeckwith@baschools.org,36.063754,-95.778415
BROKEN ARROW,HIGHLAND PARK ES,72-I003,135,850,51,KG-05,(918) 505-5930,7200 East Quincy Place,Broken Arrow,OK,74014,TULSA,Karen Morrison,kmorrison@baschools.org,36.09837,-95.758032
BROKEN ARROW,LYNN WOOD ES,72-I003,140,508,40,KG-05,(918) 259-4430,1600 West Quincy Ave,Broken Arrow,OK,74012,TULSA,Chris England,cengland@baschools.org,36.061294,-95.832553
BROKEN ARROW,LEISURE PARK ES,72-I003,150,672,48,KG-05,(918) 259-4420,4300 South Juniper Place,Broken Arrow,OK,74011,TULSA,Janet Dotson,jdotson@baschools.org,36.013303,-95.815763
BROKEN ARROW,SPRING CREEK ES,72-I003,160,525,38,KG-05,(918) 259-4480,6801 South Third St,Broken Arrow,OK,74011,TULSA,Tara White,twhite@baschools.org,35.986456,-95.786958
BROKEN ARROW,WOLF CREEK ES,72-I003,165,562,39,KG-05,(918) 259-4510,3000 West New Orleans St,Broken Arrow,OK,74011,TULSA,Stacy Strow,sstrow@baschools.org,36.015434,-95.790858
BROKEN ARROW,COUNTRY LANE PRIMARY ES,72-I003,170,830,55,KG-02,(918) 259-4400,301 East Omaha St,Broken Arrow,OK,74012,TULSA,Leslie Officer,leofficer@baschools.org,36.085835,-95.768746
BROKEN ARROW,LIBERTY ES,72-I003,175,760,52,KG-05,(918) 259-4470,4300 South 209th East Ave,Broken Arrow,OK,74014,TULSA,Elora Orr,eorr@baschools.org,36.100104,-95.752217
BROKEN ARROW,COUNTRY LANE INTERMEDIATE ES,72-I003,180,850,57,03-05,(918) 449-5600,251 East Omaha St,Broken Arrow,OK,74012,TULSA,Todd Greathouse,tjgreathouse@baschools.org,36.085835,-95.768746
BROKEN ARROW,CREEKWOOD ES,72-I003,200,679,50,KG-05,(918) 259-4500,1301 East Albany St,Broken Arrow,OK,74012,TULSA,Tiffany Green,tjgreen@baschools.org,36.075837,-95.816868
BROKEN ARROW,ASPEN CREEK ES,72-I003,205,665,46,KG-05,(918) 259-4410,2800 West Florence,Broken Arrow,OK,74011,TULSA,Larry Smith,lsmith1@baschools.org,36.004458,-95.822065
BROKEN ARROW,OAK CREST ES,72-I003,215,401,35,KG-05,(918) 259-4450,405 E Richmond St,Broken Arrow,OK,74012,TULSA,Heather Adams,hadams1@baschools.org,35.479572,-97.50541
BROKEN ARROW,CENTENNIAL MS,72-I003,505,1060,79,06-08,(918) 259-4340,225 East Omaha St,Broken Arrow,OK,74012,TULSA,Kenneth Kinzer,kwkinzer@baschools.org,36.085835,-95.768746
BROKEN ARROW,SEQUOYAH MS,72-I003,510,568,48,06-08,(918) 259-4370,2701 South Elm Place,Broken Arrow,OK,74012,TULSA,Beth Gilbert,bgilbert@baschools.org,36.018794,-95.795886
BROKEN ARROW,CHILDERS MS,72-I003,520,775,54,06-08,(918) 259-4350,301 East Tucson St,Broken Arrow,OK,74011,TULSA,Stacy Replogle,sdreplogle@baschools.org,35.986742,-95.785799
BROKEN ARROW,OLIVER MS,72-I003,525,817,57,06-08,(918) 259-4590,3100 W New Orleans,Broken Arrow,OK,74011,TULSA,Jill Whitaker,sjwhitaker@baschools.org,36.015434,-95.790858
BROKEN ARROW,ONETA RIDGE MS,72-I003,530,814,60,06-08,(918) 259-4360,6800 East Quincy Place,Broken Arrow,OK,74014,TULSA,Mickey Replogle,mreplogle@baschools.org,36.09837,-95.758032
BROKEN ARROW,BROKEN ARROW FRESHMAN ACADEMY,72-I003,700,1280,100,09-09,(918) 259-4330,301 W New Orleans,Broken Arrow,OK,74011,TULSA,Margaret Coates,mcoates@baschools.org,36.015434,-95.790858
BROKEN ARROW,BROKEN ARROW HS,72-I003,720,3778,268,09-12,(918) 259-4310,1901 E Albany,Broken Arrow,OK,74012,TULSA,Elizabeth Burns,lburns@baschools.org,36.085835,-95.768746
BROKEN BOW,BENNETT ES,48-I074,110,323,28,03-05,(580) 584-6440,108 West Fifth St,Broken Bow,OK,74728,MCCURTAIN,Jarod Bible,jbible@bbisd.org,34.019199,-94.744349
BROKEN BOW,DIERKS ES,48-I074,120,417,31,PK-02,(580) 584-2765,108 West Fifth St,Broken Bow,OK,74728,MCCURTAIN,Terry Stricker,tstricker@bbisd.org,34.019199,-94.744349
BROKEN BOW,RECTOR JOHNSON MS,48-I074,505,337,37,06-08,(580) 584-9603,108 West Fifth St,Broken Bow,OK,74728,MCCURTAIN,Belinda Highful,bmhighful@bbisd.org,34.019199,-94.744349
BROKEN BOW,BROKEN BOW HS,48-I074,705,623,57,09-12,(580) 584-3365,108 West Fifth St,Broken Bow,OK,74728,MCCURTAIN,Luke Hanks,lhanks@bbisd.org,34.019199,-94.744349
BRUSHY,BRUSHY PUBLIC SCHOOL,68-C036,105,403,24,PK-08,(918) 775-4458,100968 S 4650 Rd,Sallisaw,OK,74955,SEQUOYAH,Greg Reynolds,greynolds@brushy.k12.ok.us,35.477142,-97.500546
BUFFALO VALLEY,BUFFALO VALLEY ES,39-I003,105,91,17,PK-08,(918) 522-4802,4384 Southeast Highway 63,Talihina,OK,74571,LATIMER,Diana Hames,dhames@bvpsd.org,35.417519,-97.501969
BUFFALO VALLEY,BUFFALO VALLEY HS,39-I003,705,53,14,09-12,(918) 522-4803,4384 Southeast Highway 63,Talihina,OK,74571,LATIMER,Diana Hames,dhames@bvpsd.org,35.417519,-97.501969
BYNG,BYNG ES,62-I016,105,263,29,04-06,(580) 310-6723,500 South New Bethel Blvd,Ada,OK,74820,PONTOTOC,Dennis Kymes,dkymes@byngschools.com,34.775145,-96.678479
BYNG,HOMER ES,62-I016,110,640,52,PK-05,(580) 559-0200,1400 North Monte Vista,Ada,OK,74820,PONTOTOC,Vicki Wilson,vickiw@byngschools.com,34.775145,-96.678479
BYNG,FRANCIS ES,62-I016,115,264,23,PK-03,(580) 559-0270,500 S. New Bethel Blvd,Ada,OK,74820,PONTOTOC,Johna Hancock,jhancock@byngschools.com,34.775145,-96.678479
BYNG,BYNG JHS,62-I016,610,374,53,07-09,(580) 310-6744,500 South New Bethel Blvd,Ada,OK,74820,PONTOTOC,Kevin Wilson,wilson@byngschools.com,34.775145,-96.678479
BYNG,BYNG HS,62-I016,705,293,54,10-12,(580) 310-6733,500 South New Bethel Blvd,Ada,OK,74820,PONTOTOC,Scott Lowrance,lowrance@byngschools.com,34.775145,-96.678479
