CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,latitude,longitude
40737932,STARBUCKS COFFEE,MANHATTAN,1290,AVENUE OF THE AMERICAS,10104,2129774861,Café/Coffee/Tea,40.760728,-73.979487
40737933,STARBUCKS,QUEENS,4102,MAIN STREET,11355,7183589355,Café/Coffee/Tea,40.756921,-73.829285
40737935,STARBUCKS COFFEE,MANHATTAN,1345,AVENUE OF THE AMERICAS,10105,2122658610,Café/Coffee/Tea,40.76288,-73.978724
40737939,STARBUCKS COFFEE,MANHATTAN,450,LEXINGTON AVENUE,10017,2126825139,Café/Coffee/Tea,40.753085,-73.975025
40748086,STARBUCKS COFFEE,MANHATTAN,72,GROVE STREET,10014,6464862216,Café/Coffee/Tea,40.733167,-74.002717
40754551,STARBUCKS COFFEE,MANHATTAN,335,MADISON AVENUE,10017,2123703710,Café/Coffee/Tea,40.753609,-73.978139
40754552,STARBUCKS COFFEE,MANHATTAN,165,BROADWAY,10006,2126086481,Café/Coffee/Tea,40.706957,-74.01251
40782091,STARBUCKS,QUEENS,3144,STEINWAY,11103,7182745700,Café/Coffee/Tea,40.760234,-73.917516
40782092,STARBUCKS COFFEE,MANHATTAN,291,BROADWAY,10007,2124065312,Café/Coffee/Tea,40.714888,-74.005905
40787990,STARBUCKS COFFEE,MANHATTAN,77,WEST 125 STREET,10027,9174922452,Café/Coffee/Tea,40.807749,-73.945014
40788471,STARBUCKS COFFEE,MANHATTAN,30,ROCKFEELLER PLAZA,10020,2125860914,Café/Coffee/Tea,40.758827,-73.978813
40788884,STARBUCKS COFFEE,MANHATTAN,177,8 AVENUE,10011,__________,Café/Coffee/Tea,40.74316,-74.00027
40788886,STARBUCKS COFFEE,MANHATTAN,750,6 AVENUE,10010,6462307208,Café/Coffee/Tea,40.744436,-73.991928
40788888,STARBUCKS COFFEE,MANHATTAN,41,UNION SQUARE WEST,10003,6463366945,Café/Coffee/Tea,40.737095,-73.990566
40788891,STARBUCKS COFFEE,MANHATTAN,1378,MADISON AVENUE,10128,2125347225,Café/Coffee/Tea,40.787059,-73.954462
40790306,STARBUCKS,QUEENS,13811,20 AVENUE,11356,7185394072,Café/Coffee/Tea,40.781979,-73.833752
40790307,STARBUCKS COFFEE,MANHATTAN,685,3 AVENUE,10017,6468651250,Café/Coffee/Tea,40.751898,-73.973399
40799123,STARBUCKS COFFEE,MANHATTAN,230,PARK AVENUE,10017,2126819407,Café/Coffee/Tea,40.754157,-73.975327
40814124,STARBUCKS COFFEE,MANHATTAN,360,LEXINGTON AVENUE,10017,2129531662,Café/Coffee/Tea,40.750514,-73.977198
40814134,STARBUCKS COFFEE,MANHATTAN,511,LEXINGTON AVENUE,10017,2124861964,Café/Coffee/Tea,40.755103,-73.973204
40814139,STARBUCKS COFFEE,MANHATTAN,1102,1 AVENUE,10065,2126889118,Café/Coffee/Tea,40.760513,-73.961029
40814142,STARBUCKS COFFEE,MANHATTAN,150,VARICK STREET,10013,6462309816,Café/Coffee/Tea,40.726194,-74.005521
40818115,STARBUCKS COFFEE,MANHATTAN,803,WEST 181 STREET,10033,2129274272,Café/Coffee/Tea,40.850881,-73.93862
40818118,STARBUCKS,BROOKLYN,9202,3 AVENUE,11209,7184928021,Café/Coffee/Tea,40.619228,-74.032961
40818166,STARBUCKS,BROOKLYN,167,COURT STREET,11201,7182229729,Café/Coffee/Tea,40.688506,-73.992618
40821115,STARBUCKS COFFEE,MANHATTAN,115,BROADWAY,10006,2127329268,Café/Coffee/Tea,40.708725,-74.011084
40827432,STARBUCKS COFFEE,MANHATTAN,787,7 AVENUE,10019,2122456479,Café/Coffee/Tea,40.76215,-73.98224
40827435,STARBUCKS COFFEE,MANHATTAN,1631,1 AVENUE,10028,2127376534,Café/Coffee/Tea,40.776143,-73.950207
40831148,STARBUCKS,QUEENS,2202,31 STREET,11105,7186266004,Café/Coffee/Tea,40.774436,-73.912502
40838446,STARBUCKS COFFEE,MANHATTAN,1449,2 AVENUE,10021,2124720653,Café/Coffee/Tea,40.771145,-73.95688
40838447,STARBUCKS COFFEE,MANHATTAN,510,6 AVENUE,10011,2122425981,Café/Coffee/Tea,40.73694,-73.996902
40838454,STARBUCKS COFFEE,MANHATTAN,630,LEXINGTON AVENUE,10022,2125218075,Café/Coffee/Tea,40.758763,-73.970933
40838460,STARBUCKS COFFEE,MANHATTAN,400,EAST 90 STREET,10128,2129870891,Café/Coffee/Tea,40.779208,-73.947233
40850857,STARBUCKS COFFEE,MANHATTAN,120,WEST 56 STREET,10019,2122629273,Café/Coffee/Tea,40.763945,-73.978858
40850859,STARBUCKS COFFEE,MANHATTAN,2529,BROADWAY,10025,2123160374,Café/Coffee/Tea,40.793528,-73.972278
40856325,STARBUCKS,BRONX,1385,METROPOLITAN AVENUE,10462,7183191702,Café/Coffee/Tea,40.837368,-73.860108
40856332,STARBUCKS COFFEE,MANHATTAN,142,WEST 57 STREET,10019,6467101906,Café/Coffee/Tea,40.764808,-73.979201
40872433,STARBUCKS COFFEE,MANHATTAN,471,BROADWAY,10013,2122198787,Café/Coffee/Tea,40.721308,-74.00062
40872441,STARBUCKS COFFEE,MANHATTAN,599,LEXINGTON AVENUE,10022,2127541864,Café/Coffee/Tea,40.757902,-73.971121
40880619,STARBUCKS COFFEE,MANHATTAN,776,AVENUE OF THE AMERICAS,10001,2124811856,Café/Coffee/Tea,40.745219,-73.990847
40880634,STARBUCKS COFFEE,MANHATTAN,241,CANAL STREET,10013,2122192725,Café/Coffee/Tea,40.718251,-74.0
40899767,STARBUCKS COFFEE,MANHATTAN,145,3 AVENUE,10003,2126777248,Café/Coffee/Tea,40.733778,-73.986606
40909205,STARBUCKS COFFEE,MANHATTAN,0,GRAND CENTRAL STATION TERMINAL,10017,2123704161,Café/Coffee/Tea,40.752659,-73.974485
40913296,STARBUCKS COFFEE,MANHATTAN,295,MADISON AVENUE,10017,2129229078,Café/Coffee/Tea,40.751939,-73.97972
40913297,STARBUCKS COFFEE,MANHATTAN,560,LEXINGTON AVENUE,10022,2127512937,Café/Coffee/Tea,40.756903,-73.972589
40919024,STARBUCKS COFFEE,MANHATTAN,233,BROADWAY,10007,2126191529,Café/Coffee/Tea,40.712468,-74.007929
40919027,STARBUCKS COFFEE,MANHATTAN,338,COLUMBUS AVENUE,10023,6465051106,Café/Coffee/Tea,40.779977,-73.977196
40927469,STARBUCKS COFFEE,MANHATTAN,450,WEST 33 STREET,10001,2125630692,Café/Coffee/Tea,40.753841,-73.99917
40927471,STARBUCKS COFFEE,MANHATTAN,943,2 AVENUE,10022,2127150752,Café/Coffee/Tea,40.755047,-73.968632
40938943,STARBUCKS COFFEE,MANHATTAN,1,PENN PLAZA,10119,2127363206,Café/Coffee/Tea,40.750938,-73.991594
40938945,STARBUCKS COFFEE,MANHATTAN,286,1 AVENUE,10009,2123531214,Café/Coffee/Tea,40.733052,-73.980961
40940269,STARBUCKS COFFEE,MANHATTAN,55,LIBERTY STREET,10005,2122270372,Café/Coffee/Tea,40.70878,-74.009399
40940279,STARBUCKS COFFEE,MANHATTAN,2140,BROADWAY,10023,2125801141,Café/Coffee/Tea,40.781329,-73.981534
40940283,STARBUCKS COFFEE,MANHATTAN,725,5 AVENUE,10022,2124217154,Café/Coffee/Tea,40.762342,-73.973992
40940421,STARBUCKS COFFEE,MANHATTAN,85,WEST STREET,10006,2122666152,Café/Coffee/Tea,40.709548,-74.014612
40945643,STARBUCKS COFFEE,MANHATTAN,76,9 AVENUE,10011,6462307145,Café/Coffee/Tea,40.74189,-74.004459
40946403,STARBUCKS,STATEN ISLAND,468,FOREST AVENUE,10301,7182735984,Café/Coffee/Tea,40.630933,-74.104995
40946406,STARBUCKS COFFEE,MANHATTAN,111,WORTH STREET,10013,2129648846,Café/Coffee/Tea,40.715956,-74.003566
40951896,STARBUCKS COFFEE,MANHATTAN,125,PARK AVENUE,10017,2125572718,Café/Coffee/Tea,40.751818,-73.977346
40951901,STARBUCKS COFFEE,MANHATTAN,80,PINE STREET,10005,6462877347,Café/Coffee/Tea,40.705907,-74.007094
40957903,STARBUCKS,QUEENS,5106,NORTHERN BOULEVARD,11377,7184243716,Café/Coffee/Tea,40.753739,-73.908988
40969350,STARBUCKS,QUEENS,10102,QUEENS BOULEVARD,11375,7184596923,Café/Coffee/Tea,40.726723,-73.851831
40972873,STARBUCKS COFFEE,MANHATTAN,251,WEST 42 STREET,10036,2123981982,Café/Coffee/Tea,40.757099,-73.989058
40982663,STARBUCKS,BROOKLYN,6423,18 AVENUE,11204,7182347160,Café/Coffee/Tea,40.619193,-73.989926
40982677,STARBUCKS COFFEE,MANHATTAN,2,BROADWAY,10004,2123444290,Café/Coffee/Tea,40.704566,-74.013128
40985913,STARBUCKS,BROOKLYN,7419,3 AVENUE,11209,7188363882,Café/Coffee/Tea,40.631557,-74.027591
41006744,STARBUCKS COFFEE,MANHATTAN,770,8 AVENUE,10036,2128309001,CafÃ©/Coffee/Tea,40.760441,-73.987191
41011016,STARBUCKS COFFEE,MANHATTAN,1320,AVENUE OF THE AMERICAS,10019,2129699066,CafÃ©/Coffee/Tea,40.761876,-73.978707
41014003,STARBUCKS COFFEE,MANHATTAN,1535,BROADWAY,10036,2127048937,CafÃ©/Coffee/Tea,40.757673,-73.985123
41014554,STARBUCKS COFFEE,MANHATTAN,4,COLUMBUS CIRCLE,10019,2122650658,CafÃ©/Coffee/Tea,40.767464,-73.981846
41014566,STARBUCKS,QUEENS,9015,QUEENS BOULEVARD,11373,7186997856,CafÃ©/Coffee/Tea,40.733983,-73.870694
41014575,STARBUCKS,BROOKLYN,607,BRIGHTON BEACH AVE,11235,7189343211,CafÃ©/Coffee/Tea,40.577951,-73.961229
41022153,STARBUCKS COFFEE,MANHATTAN,325,WEST 49 STREET,10019,2127652205,CafÃ©/Coffee/Tea,40.762334,-73.987893
41028791,STARBUCKS COFFEE,MANHATTAN,300,WEST 23 STREET,10011,6466381571,CafÃ©/Coffee/Tea,40.745291,-73.998884
41031137,STARBUCKS COFFEE,MANHATTAN,1500,BROADWAY,10036,2122217515,CafÃ©/Coffee/Tea,40.756593,-73.985894
41035324,STARBUCKS COFFEE,MANHATTAN,1515,YORK AVENUE,10028,2124723581,CafÃ©/Coffee/Tea,40.774455,-73.948416
41039810,STARBUCKS,BROOKLYN,139,FLATBUSH AVENUE,11217,7187893418,CafÃ©/Coffee/Tea,40.684358,-73.976966
41039814,STARBUCKS COFFEE,MANHATTAN,45,EAST 51 STREET,10022,2126888490,CafÃ©/Coffee/Tea,40.758322,-73.97412
41054662,STARBUCKS COFFEE,MANHATTAN,90,PARK AVENUE,10016,2126615489,CafÃ©/Coffee/Tea,40.750799,-73.978946
41054667,STARBUCKS COFFEE,MANHATTAN,1530,BROADWAY,10036,2123912079,CafÃ©/Coffee/Tea,40.757673,-73.985123
41054675,STARBUCKS,STATEN ISLAND,2070,VICTORY BOULEVARD,10314,7189820167,CafÃ©/Coffee/Tea,40.612187,-74.13257
41062070,STARBUCKS COFFEE,MANHATTAN,1488,3 AVENUE,10028,2127447458,CafÃ©/Coffee/Tea,40.777484,-73.955244
41062076,STARBUCKS,BROOKLYN,67,FRONT STREET,11201,7188550856,CafÃ©/Coffee/Tea,40.702614,-73.993232
41100003,STARBUCKS COFFEE,MANHATTAN,3,PARK AVENUE,10016,2127259469,Café/Coffee/Tea,40.746643,-73.981288
41101900,STARBUCKS COFFEE,MANHATTAN,875,6 AVENUE,10001,2126296540,Café/Coffee/Tea,40.748253,-73.989349
41106644,STARBUCKS COFFEE,MANHATTAN,593,9 AVENUE,10036,2125947846,Café/Coffee/Tea,40.758636,-73.992255
41106653,STARBUCKS,QUEENS,3711,35 AVENUE,11101,7187060464,Café/Coffee/Tea,40.755207,-73.923326
41106681,STARBUCKS,BROOKLYN,33,HILLEL PLACE,11210,7183382489,Café/Coffee/Tea,40.632274,-73.948604
41108581,STARBUCKS COFFEE,QUEENS,0,JFK INTERNATIONAL AIRPORT,11430,7186561017,Café/Coffee/Tea,40.665967,-73.808061
41140612,STARBUCKS COFFEE,MANHATTAN,870,7 AVENUE,10019,2125862142,Café/Coffee/Tea,40.764614,-73.980472
41142962,STARBUCKS COFFEE,MANHATTAN,80,DELANCEY STREET,10002,9175341397,Café/Coffee/Tea,40.71929,-73.989897
41146006,STARBUCKS,STATEN ISLAND,2655,RICHMOND AVENUE,10314,7184775010,Café/Coffee/Tea,40.581965,-74.165962
41146015,STARBUCKS COFFEE,MANHATTAN,1380,6 AVENUE,10019,2129771382,Café/Coffee/Tea,40.763675,-73.977384
41168952,STARBUCKS COFFEE,MANHATTAN,110,PEARL STREET,10005,2124826530,CafÃ©/Coffee/Tea,40.704729,-74.008942
41168959,STARBUCKS COFFEE,MANHATTAN,731,LEXINGTON AVENUE,10022,2126440692,CafÃ©/Coffee/Tea,40.761874,-73.968256
41168966,STARBUCKS COFFEE,MANHATTAN,1021,3 AVENUE,10065,2124866764,CafÃ©/Coffee/Tea,40.762473,-73.965646
41180283,STARBUCKS COFFEE,MANHATTAN,655,LEXINGTON AVENUE,10022,2123085717,CafÃ©/Coffee/Tea,40.759463,-73.970018
41180292,STARBUCKS COFFEE,MANHATTAN,455,MAIN STREET,10044,2123711290,CafÃ©/Coffee/Tea,40.759248,-73.952537
41196536,STARBUCKS,BROOKLYN,3035,CROPSEY AVENUE,11224,7183723573,CafÃ©/Coffee/Tea,40.580443,-73.985366
41196542,STARBUCKS COFFEE,MANHATTAN,373,5 AVENUE,10016,2122135363,CafÃ©/Coffee/Tea,40.749135,-73.983842
41209902,STARBUCKS COFFEE,MANHATTAN,4,WEST 21 STREET,10010,6463366583,CafÃ©/Coffee/Tea,40.740509,-73.99137
41216192,STARBUCKS COFFEE,MANHATTAN,145,2 AVENUE,10003,2127800027,CafÃ©/Coffee/Tea,40.729346,-73.98735
41225172,STARBUCKS,QUEENS,4609,QUEENS BOULEVARD,11104,7184725215,CafÃ©/Coffee/Tea,40.74336,-73.917861
41225179,STARBUCKS COFFEE,MANHATTAN,340,MADISON AVENUE,10173,2128670928,CafÃ©/Coffee/Tea,40.754015,-73.979145
41225181,STARBUCKS COFFEE,MANHATTAN,345,HUDSON STREET,10014,6464860487,CafÃ©/Coffee/Tea,40.727461,-74.007486
41231500,STARBUCKS,QUEENS,8000,COOPER AVENUE,11385,7184161521,CafÃ©/Coffee/Tea,40.70897,-73.868344
41231506,STARBUCKS,BROOKLYN,514,86 STREET,11209,7184911340,CafÃ©/Coffee/Tea,40.621116,-74.025908
41235592,STARBUCKS COFFEE,MANHATTAN,1889,BROADWAY,10023,2122451345,CafÃ©/Coffee/Tea,40.771254,-73.982444
41237926,STARBUCKS COFFEE,MANHATTAN,1261,LEXINGTON AVENUE,10028,2128791764,CafÃ©/Coffee/Tea,40.778774,-73.95629
41238635,STARBUCKS,BROOKLYN,164,SMITH STREET,11201,7184220178,CafÃ©/Coffee/Tea,40.686228,-73.990943
41238639,STARBUCKS COFFEE,MANHATTAN,518,HUDSON STREET,10014,6464860524,CafÃ©/Coffee/Tea,40.733676,-74.006127
41238641,STARBUCKS COFFEE,MANHATTAN,405,BROADWAY,10013,6466130148,CafÃ©/Coffee/Tea,40.718903,-74.002495
41249343,STARBUCKS,BROOKLYN,6,METRO TECH,11201,7185222396,CafÃ©/Coffee/Tea,40.693064,-73.985589
41249345,STARBUCKS COFFEE,MANHATTAN,425,MADISON AVENUE,10017,2126449462,CafÃ©/Coffee/Tea,40.757009,-73.976025
41258465,STARBUCKS,BROOKLYN,910,MANHATTAN AVENUE,11222,7186090469,Café/Coffee/Tea,40.730521,-73.954153
41269723,STARBUCKS COFFEE,MANHATTAN,151,WEST 34 STREET,10001,2125647025,Café/Coffee/Tea,40.751046,-73.99033
41269725,STARBUCKS,QUEENS,25105,JERICHO TURNPIKE,11426,7183471304,Café/Coffee/Tea,40.828221,-73.418783
41270498,STARBUCKS COFFEE,MANHATTAN,301,WEST 145 STREET,10039,2126907835,Café/Coffee/Tea,40.823207,-73.942383
41276342,STARBUCKS COFFEE,MANHATTAN,1,PENN PLAZA,10119,2122791238,Café/Coffee/Tea,40.750938,-73.991594
41277471,STARBUCKS COFFEE,MANHATTAN,315,7 AVENUE,10001,6463366422,Café/Coffee/Tea,40.747266,-73.993122
41277859,STARBUCKS,QUEENS,58,JFK INTL AIRPORT,11422,7187512895,Café/Coffee/Tea,40.658153,-73.738455
41288479,STARBUCKS COFFEE,MANHATTAN,4001,BROADWAY,10032,9175210342,Café/Coffee/Tea,40.841374,-73.939857
41290548,STARBUCKS COFFEE,MANHATTAN,14,WEST 23 STREET,10010,2123672050,Café/Coffee/Tea,40.741677,-73.990304
41290556,STARBUCKS COFFEE,MANHATTAN,1185,AVENUE OF THE AMERICAS,10036,2127307646,Café/Coffee/Tea,40.757815,-73.982208
41290574,STARBUCKS COFFEE,MANHATTAN,482,WEST BROADWAY,10012,2122540139,Café/Coffee/Tea,40.726848,-74.00017
41290590,STARBUCKS COFFEE,MANHATTAN,151,WEST 34 STREET,10001,2122683695,Café/Coffee/Tea,40.751046,-73.99033
41293203,STARBUCKS COFFEE,MANHATTAN,2690,BROADWAY,10025,2125318204,Café/Coffee/Tea,40.798894,-73.968348
41293744,STARBUCKS,BROOKLYN,1973,86 STREET,11214,7182661503,Café/Coffee/Tea,40.604954,-73.998515
41299392,STARBUCKS COFFEE,MANHATTAN,220,EAST 42 STREET,10017,2128671264,Café/Coffee/Tea,40.75013,-73.973347
41299396,STARBUCKS,BRONX,3503,JOHNSON AVENUE,10463,7185432348,Café/Coffee/Tea,40.886111,-73.91
41303739,STARBUCKS,QUEENS,11824,QUEENS BOULEVARD,11375,7182614246,Café/Coffee/Tea,40.714452,-73.832079
41311390,STARBUCKS,QUEENS,7825,37 AVENUE,11372,7184570875,Café/Coffee/Tea,40.749519,-73.887547
41315030,STARBUCKS COFFEE,MANHATTAN,2394,BROADWAY,10024,2125953404,Café/Coffee/Tea,40.789164,-73.975464
41315035,STARBUCKS,BRONX,1728,EASTCHESTER ROAD,10461,7182394931,Café/Coffee/Tea,40.847181,-73.844508
