"time","latitude","longitude","depth","mag","magType","id","place","STUSPS","FIPS"
"2015-08-31T09:59:43.592Z",41.8615,-119.6253,11.2391,3.3,"ml","nn00508719","68km ESE of Lakeview, Oregon","NV","32031"
"2015-08-31T01:04:03.200Z",35.7457,-97.359,5,3,"ml","us10003682","14km NE of Edmond, Oklahoma","OK","40083"
"2015-08-30T12:19:23.900Z",35.675,-97.399,6.01,3.4,"mwr","us1000365e","7km ENE of Edmond, Oklahoma","OK","40109"
"2015-08-30T08:27:26.580Z",36.7904,-98.3418,8.1,3.4,"mb_lg","us1000364s","4km NNE of Cherokee, Oklahoma","OK","40003"
"2015-08-30T01:08:33.100Z",36.6379,-97.6453,5.383,3,"ml","us10003629","20km SSE of Medford, Oklahoma","OK","40053"
"2015-08-29T20:43:34.000Z",69.7763,-143.4124,13.7,3.1,"ml","ak11688032","40km SSE of Kaktovik, Alaska","AK","02185"
"2015-08-29T14:39:05.960Z",37.056,-97.4919,6.62,3.1,"mb_lg","us100035zt","10km ENE of Caldwell, Kansas","KS","20191"
"2015-08-29T08:13:47.100Z",39.4791667,-123.5883333,6.2,3.04,"ml","nc71096509","17km WNW of Brooktrails, California","CA","06045"
"2015-08-29T08:13:14.110Z",39.481,-123.5968333,5.86,3.56,"mw","nc72515311","18km ENE of Fort Bragg, California","CA","06045"
"2015-08-29T04:18:11.100Z",42.7853,-111.2605,0,3,"mc","mb15492726","27km WNW of Afton, Wyoming","ID","16029"
"2015-08-28T22:05:54.920Z",36.0795,-97.5796,1.26,3.2,"mb_lg","us100035x6","14km N of Crescent, Oklahoma","OK","40083"
"2015-08-28T21:15:16.000Z",68.1415,-162.2289,39.6,3.8,"ml","ak11687616","70km NNE of Noatak, Alaska","AK","02188"
"2015-08-28T20:23:26.000Z",66.1296,-141.4967,7.3,3.3,"ml","ak11687599","123km ENE of Circle, Alaska","AK","02290"
"2015-08-28T09:51:46.000Z",66.0782,-141.3991,12.9,3.2,"ml","ak11696997","124km ENE of Circle, Alaska","AK","02290"
"2015-08-28T08:46:47.000Z",66.1037,-141.5003,10,3.9,"ml","ak11687296","120km ENE of Circle, Alaska","AK","02290"
"2015-08-28T01:27:42.000Z",59.3839,-153.4227,102,3.3,"ml","ak11687218","93km ESE of Old Iliamna, Alaska","AK","02122"
"2015-08-27T14:39:19.050Z",19.3038333,-155.214,9.39,3.87,"ml","hv61021481","14km S of Volcano, Hawaii","HI","15001"
"2015-08-27T10:12:56.840Z",36.2588,-97.3218,5,3,"mb_lg","us1000359f","4km SW of Perry, Oklahoma","OK","40103"
"2015-08-26T07:33:09.300Z",36.8493,-98.035,7.45,3.2,"mb_lg","us100034yz","27km W of Medford, Oklahoma","OK","40053"
"2015-08-26T05:05:27.930Z",36.2798,-97.2672,1.88,3.1,"mb_lg","us100034yg","2km ESE of Perry, Oklahoma","OK","40103"
"2015-08-25T22:04:53.160Z",36.2696,-97.2735,5,3,"mb_lg","us100034x1","2km SSE of Perry, Oklahoma","OK","40103"
"2015-08-25T13:26:15.330Z",35.6633333,-89.682,12.7,3.5,"mw","nm60087957","11km NNW of Covington, Tennessee","TN","47097"
"2015-08-25T12:59:25.590Z",36.0489,-97.1413,2.61,3.5,"mb_lg","us100034qq","10km SW of Stillwater, Oklahoma","OK","40119"
"2015-08-25T07:43:55.900Z",44.812,-111.5956,10.5,3.4,"mc","mb15710001","42km WNW of West Yellowstone, Montana","MT","30057"
"2015-08-25T03:34:49.450Z",36.0287,-97.1376,1.69,3,"mb_lg","us100034nd","11km SW of Stillwater, Oklahoma","OK","40119"
"2015-08-24T16:09:41.590Z",35.829,-97.406,5.8,3,"ml","us100034ll","5km SSE of Guthrie, Oklahoma","OK","40083"
"2015-08-23T23:56:10.000Z",60.5133,-144.0528,15.4,3.2,"ml","ak11684045","93km E of Cordova, Alaska","AK","02261"
"2015-08-23T17:41:18.670Z",38.7843333,-122.7436667,4.37,3.83,"mw","nc72511186","1km NE of The Geysers, California","CA","06097"
"2015-08-23T16:21:35.320Z",36.0452,-97.1489,4.86,3.5,"mb_lg","us100034cc","11km SW of Stillwater, Oklahoma","OK","40119"
"2015-08-23T15:41:14.000Z",67.153,-160.5408,20.9,3,"ml","ak11683810","93km ENE of Kotzebue, Alaska","AK","02188"
"2015-08-23T15:00:57.000Z",36.5972,-97.698,6.835,3.3,"ml","us100034ib","23km S of Medford, Oklahoma","OK","40053"
"2015-08-23T13:53:07.670Z",36.2778,-97.5144,2.98,3.1,"mb_lg","us100034bm","20km W of Perry, Oklahoma","OK","40047"
"2015-08-23T04:30:12.400Z",36.7647,-98.5403,2.12,3.4,"ml","us100034a6","12km ESE of Alva, Oklahoma","OK","40151"
"2015-08-22T23:18:52.000Z",61.3176,-147.384,0.5,3.3,"ml","ak11683499","59km WNW of Valdez, Alaska","AK","02261"
"2015-08-22T13:34:48.830Z",37.5975,-118.7878333,7.01,3.71,"mw","nc72510456","17km ESE of Mammoth Lakes, California","CA","06051"
"2015-08-22T08:46:49.500Z",36.8416,-97.8271,5.256,3.8,"mwr","us1000346p","9km WNW of Medford, Oklahoma","OK","40053"
"2015-08-21T06:53:38.000Z",63.7856,-150.3444,12.5,3.8,"ml","ak11682667","68km W of Healy, Alaska","AK","02068"
"2015-08-21T00:34:28.420Z",58.7519,-136.721,7.34,3.2,"ml","us100033tw","68km NW of Gustavus, Alaska","AK","02105"
"2015-08-20T13:17:54.950Z",37.0542,-97.914,6.31,3.4,"ml","us100033nu","15km SE of Anthony, Kansas","KS","20077"
"2015-08-20T08:28:11.440Z",36.2877,-97.5317,1.11,3.3,"mwr","us100033m3","21km W of Perry, Oklahoma","OK","40047"
"2015-08-20T05:14:09.510Z",37.1078,-104.9291,1.08,3.9,"mwr","us100033ki","38km W of Trinidad, Colorado","CO","08071"
"2015-08-20T00:49:17.700Z",36.8484,-98.2548,3.933,3.5,"ml","us100033jw","13km NE of Cherokee, Oklahoma","OK","40003"
"2015-08-20T00:47:13.290Z",36.8046,-98.2284,2.92,3.9,"mb_lg","us100033jm","12km ENE of Cherokee, Oklahoma","OK","40003"
"2015-08-19T23:13:47.300Z",36.5508,-98.4616,5.227,3.3,"ml","us100033j5","17km W of Helena, Oklahoma","OK","40003"
"2015-08-19T06:48:38.140Z",41.7789,-100.249,5,3.6,"mb_lg","us100033b5","35km SE of Thedford, Nebraska","NE","31009"
"2015-08-18T11:13:30.000Z",63.4482,-149.7971,9.5,3.6,"ml","ak11681076","42km W of Cantwell, Alaska","AK","02068"
"2015-08-18T04:40:29.880Z",36.2869,-97.5243,4.77,3.2,"mb_lg","us1000332b","21km W of Perry, Oklahoma","OK","40047"
"2015-08-18T00:44:39.784Z",41.8493,-119.6263,11.0844,3.32,"ml","nn00506851","70km ESE of Lakeview, Oregon","NV","32031"
"2015-08-17T16:35:12.000Z",62.0426,-150.6796,61.7,3.1,"ml","ak11680411","43km SW of Talkeetna, Alaska","AK","02170"
"2015-08-17T13:49:17.320Z",37.8365,-122.2321667,4.82,4.01,"mw","nc72507396","1km N of Piedmont, California","CA","06001"
"2015-08-17T11:53:56.400Z",35.336,-96.67,5.4,3.3,"ml","us100032uf","12km N of Seminole, Oklahoma","OK","40133"
"2015-08-16T13:48:34.620Z",19.42,-155.6138333,2.672,3.36,"ml","hv61008996","26km E of Honaunau-Napoopoo, Hawaii","HI","15001"
"2015-08-16T11:06:36.700Z",36.9308,-97.6796,2.167,3.1,"ml","us100032nw","12km SSW of Caldwell, Kansas","OK","40053"
"2015-08-16T09:26:05.790Z",52.3388,-174.1456,176.82,3.9,"mb","us100034l3","16km NNE of Atka, Alaska","AK","02016"
"2015-08-16T08:49:50.700Z",36.8398,-97.8231,4.25,3.4,"ml","us100032np","8km WNW of Medford, Oklahoma","OK","40053"
"2015-08-16T00:00:58.300Z",36.8433,-97.8222,3.382,3,"ml","us100032wm","8km WNW of Medford, Oklahoma","OK","40053"
"2015-08-15T12:36:25.700Z",35.984,-97.5508,5.372,3,"ml","us100032ks","5km NE of Crescent, Oklahoma","OK","40083"
"2015-08-15T03:43:34.114Z",41.9156,-119.6214,9.2453,3.3,"ml","nn00506570","67km ESE of Lakeview, Oregon","NV","32031"
"2015-08-15T03:34:22.000Z",36.4813,-98.9184,6.467,3.2,"ml","us100032jb","26km E of Mooreland, Oklahoma","OK","40093"
"2015-08-14T21:25:40.600Z",36.8311,-97.8011,0.091,4.1,"mwr","us100032ei","6km WNW of Medford, Oklahoma","OK","40053"
"2015-08-14T06:32:17.728Z",41.8841,-119.6241,9.4839,3.49,"ml","nn00506470","68km ESE of Lakeview, Oregon","NV","32031"
"2015-08-14T04:35:27.647Z",41.8713,-119.6179,10.516,3.44,"ml","nn00506455","69km ESE of Lakeview, Oregon","NV","32031"
"2015-08-14T00:38:03.000Z",59.9977,-152.6899,87.6,3.6,"ml","ak11677413","54km WNW of Anchor Point, Alaska","AK","02122"
"2015-08-13T20:02:10.810Z",36.0809,-97.22,5,3.3,"mwr","us10003239","15km WSW of Stillwater, Oklahoma","OK","40119"
"2015-08-13T17:15:03.900Z",36.8478,-97.8797,5,3.3,"ml","us10003207","13km WNW of Medford, Oklahoma","OK","40053"
"2015-08-13T14:48:09.700Z",35.7455,-97.39,6.15,3.1,"ml","us100031zg","13km NE of Edmond, Oklahoma","OK","40083"
"2015-08-13T13:59:41.800Z",35.7451,-97.3894,5,3.4,"ml","us100031xr","13km NE of Edmond, Oklahoma","OK","40083"
"2015-08-13T11:31:07.857Z",41.8856,-119.622,10.3193,4.15,"ml","nn00506331","62km ESE of Lakeview, Oregon","NV","32031"
"2015-08-13T04:15:25.990Z",36.2783,-97.5198,5.4,3.1,"mwr","us100031t5","20km W of Perry, Oklahoma","OK","40047"
"2015-08-13T01:54:12.909Z",41.8792,-119.6151,9.09,3.16,"ml","nn00506315","75km SE of Lakeview, Oregon","NV","32031"
"2015-08-13T00:36:59.200Z",36.8171,-97.6173,4.842,3,"ml","us100031se","10km E of Medford, Oklahoma","OK","40053"
"2015-08-12T22:02:37.270Z",40.1305,-119.1781,6.561,3.4,"mwr","us100031r9","52km SSE of Gerlach-Empire, Nevada","NV","32027"
"2015-08-12T22:02:37.266Z",40.1305,-119.1781,6.5606,3.54,"ml","nn00506293","52km SSE of Gerlach-Empire, Nevada","NV","32027"
"2015-08-12T20:49:21.860Z",31.0455,-103.1619,5,3,"mb_lg","us100031pj","31km WNW of Fort Stockton, Texas","TX","48371"
"2015-08-12T07:06:07.000Z",57.0127,-156.9908,1.2,3.7,"ml","ak11676337","137km NE of Chignik Lake, Alaska","AK","02164"
"2015-08-12T01:16:45.000Z",62.2381,-150.8595,62.8,3,"ml","ak11676220","40km WSW of Talkeetna, Alaska","AK","02170"
"2015-08-11T18:48:16.000Z",59.9655,-140.1362,0,3.5,"ml","ak11681758","51km NNW of Yakutat, Alaska","AK","02282"
"2015-08-11T04:49:06.500Z",36.6214,-97.8112,5,3,"ml","us10003119","21km SSW of Medford, Oklahoma","OK","40053"
"2015-08-10T22:12:28.640Z",58.5295,-137.3305,1,4.1,"mb","us100030zg","93km W of Gustavus, Alaska","AK","02105"
"2015-08-10T21:10:05.000Z",57.059,-157.0378,8.1,3.1,"ml","ak11675311","138km NE of Chignik Lake, Alaska","AK","02164"
"2015-08-10T20:47:35.560Z",36.9726,-97.9597,5,3.1,"mb_lg","us100030x0","21km SSE of Anthony, Kansas","OK","40053"
"2015-08-10T17:39:38.300Z",36.6773,-98.1522,5.705,3.5,"ml","us100030ur","17km NE of Helena, Oklahoma","OK","40003"
"2015-08-10T07:53:57.700Z",59.484,-138.897,1,4,"mwr","us100030q6","47km E of Yakutat, Alaska","AK","02282"
"2015-08-10T01:44:13.600Z",36.9297,-97.6816,0.113,3,"ml","us100030p6","13km SSW of Caldwell, Kansas","OK","40053"
"2015-08-09T23:12:30.000Z",67.2144,-144.4679,15.8,3.9,"ml","ak11674020","80km NNE of Fort Yukon, Alaska","AK","02290"
"2015-08-09T16:26:34.300Z",36.7893,-98.2648,4.936,3.1,"ml","us100030kq","9km ENE of Cherokee, Oklahoma","OK","40003"
"2015-08-09T09:35:40.420Z",47.2495,-120.747,5.351,3,"ml","uw61064016","15km ENE of Cle Elum, Washington","WA","53037"
"2015-08-09T07:05:33.200Z",36.8348,-97.7968,0.672,3.5,"ml","us100030ik","6km WNW of Medford, Oklahoma","OK","40053"
"2015-08-09T06:24:27.740Z",41.8781,-119.6469,10.7246,3.08,"ml","nn00505653","67km ESE of Lakeview, Oregon","NV","32031"
"2015-08-09T02:56:18.500Z",35.439,-97.109,6.9,3.6,"ml","us100030hu","1km WNW of McLoud, Oklahoma","OK","40125"
"2015-08-08T13:57:32.950Z",37.0518,-97.9182,6.98,3.2,"ml","us100030fc","15km SE of Anthony, Kansas","KS","20077"
"2015-08-08T01:48:09.400Z",36.1999,-96.7535,4.327,3.3,"ml","us100030de","10km NNW of Yale, Oklahoma","OK","40117"
"2015-08-07T21:43:03.000Z",35.937,-97.0753,4.663,3,"ml","us100030by","5km SW of Perkins, Oklahoma","OK","40081"
"2015-08-07T14:51:58.800Z",36.6936,-98.664,2.407,3.1,"ml","us1000304p","12km S of Alva, Oklahoma","OK","40151"
"2015-08-07T14:00:02.000Z",60.5158,-143.0456,6.8,3.2,"ml","ak11671841","60km NW of Cape Yakataga, Alaska","AK","02282"
"2015-08-07T11:18:02.000Z",61.5313,-149.724,39.7,3.7,"ml","ak11671487","6km WNW of Knik-Fairview, Alaska","AK","02170"
"2015-08-07T03:04:12.800Z",35.4348,-96.5201,3.501,3,"ml","us10003003","7km SSW of Boley, Oklahoma","OK","40107"
"2015-08-06T03:51:14.500Z",36.5353,-97.8395,4.69,3.1,"ml","us10002z0q","15km NNE of Enid, Oklahoma","OK","40047"
"2015-08-05T23:09:33.700Z",36.63,-97.812,3.062,3.3,"ml","us10002ybc","20km SSW of Medford, Oklahoma","OK","40053"
"2015-08-05T15:55:11.300Z",36.6587,-97.7235,8.782,3,"ml","us10002y5r","16km S of Medford, Oklahoma","OK","40053"
"2015-08-05T14:23:48.920Z",36.2812,-97.5334,5,3.2,"mwr","us10002y3s","22km W of Perry, Oklahoma","OK","40047"
"2015-08-05T13:07:12.700Z",35.9209,-97.3349,5.448,3.2,"ml","us10002y40","7km WSW of Langston, Oklahoma","OK","40083"
"2015-08-05T12:01:12.600Z",36.8315,-97.8011,2.567,3.5,"ml","us10002y38","6km WNW of Medford, Oklahoma","OK","40053"
"2015-08-05T10:06:30.000Z",60.0513,-153.3186,136.3,3.7,"ml","ak11669624","57km SSW of Redoubt Volcano, Alaska","AK","02122"
"2015-08-05T07:48:02.300Z",36.5979,-97.6921,6.021,4,"ml","us10002y1u","23km S of Medford, Oklahoma","OK","40053"
"2015-08-05T07:30:01.000Z",36.5972,-97.6914,6.704,3.4,"ml","us10002y1m","23km S of Medford, Oklahoma","OK","40053"
"2015-08-05T03:42:30.880Z",36.2883,-97.5218,7.63,3.2,"ml","us10002y0p","20km W of Perry, Oklahoma","OK","40047"
"2015-08-04T22:54:23.100Z",35.7955,-97.3163,0.106,3,"ml","us10002y03","13km SE of Guthrie, Oklahoma","OK","40083"
"2015-08-04T18:16:29.600Z",36.838,-97.804,3.692,3.4,"ml","us10002xxr","7km WNW of Medford, Oklahoma","OK","40053"
"2015-08-04T15:06:31.690Z",31.1674,-103.2781,5,3.3,"mb_lg","us10002xuw","34km SE of Pecos, Texas","TX","48389"
"2015-08-04T08:58:09.900Z",36.836,-98.2917,4.303,3.2,"ml","us10002xub","10km NNE of Cherokee, Oklahoma","OK","40003"
"2015-08-04T04:18:30.240Z",32.5973,-109.1394,5,3.3,"ml","us10002xst","48km NW of Lordsburg, New Mexico","AZ","04011"
"2015-08-04T03:40:59.590Z",34.4565,-116.461,3.813,3.21,"ml","ci37219951","38km N of Yucca Valley, California","CA","06071"
"2015-08-03T22:08:40.900Z",36.689,-98.6069,4.033,3.1,"ml","us10002xmf","13km SSE of Alva, Oklahoma","OK","40151"
"2015-08-03T01:56:09.000Z",62.8358,-148.974,70.1,4.1,"ml","ak11668071","61km S of Cantwell, Alaska","AK","02170"
